token_address,receiver,amount
,0xd9b8954ce0970c29a7c65b32babc810ac19cccfe,15162.441874087538913369
,0x02468737e547de123eb90919e241f64f2480e993,15115.977622552776244117
,0x56c82cc840621d929a3c98957fa5d34fa008da8d,15084.953524229957890221
,0xcac0864330ac97bf8924005dbc2884638c839734,14912.720622068198433391
,0x823018d63988aafc5f9b36458b04a7bfa405772c,14040.069571888600654638
,0xc4c84ece914dd0f37ef0b3258320c24e479ab381,13887.253360728797398628
,0x9aee301d7b11a6dc7293b7b6ba5f11cd048590df,13490.176985543616664198
,0x6e9295d3085ef8f2c1b5d781d6ac4096e3f69d99,12993.498935319668261477
,0xd9acae2ef73d7c8483643b65e60aad80b755f8a6,12841.652786356124597227
,0xf98b52d2e4067fa4e803fe7e5002052db5611df7,12675.445429067540415877
,0x0e3fb2df89088928c520e34e89140f3e18a40e66,12587.767332521671954576
,0x962a2ccf8f855987f4c225a43ce455b6930965e9,12155.795395557653666728
,0x35529d7e0420b3bf5698bd6fe7cfd58137d54edd,11358.671208108122975256
,0x423a614b057b1c43f08464cf7a45caf3c9e9276c,11102.940115961620017462
,0x8abc0ed7e7885c82395bd1f11091b96375081c59,10895.112580563197769267
,0x964c6033d8c5cf7f16821a797ca20fc35079206c,10439.309268478364815363
,0xf8a22b371161d63b1a17f0aace7a953df3ebed80,10305.535889752659814967
,0x888ed928636ec2c5c0115dd8464005c9876cd515,10219.997743551606783517
,0x7c821e048c0cb4546fb7162cb308976f706cd3a1,10072.747160910717256597
,0x4586abb5c8ed8a6917131fa4db4ce4c78f800e4c,10034.40516928937490507
,0xb2abd0a37bafaf4ace8f9e5e8797f07882bd03e2,9944.49099483566838206
,0xef08b045cdbb12587d30c9ad588f74ec4d59b724,9802.25359914806778122
,0x0ff8d2412b13ff129f53ee8dd0eda5f2ae600494,9798.410993493582223712
,0x7f2f53721059c11efdbec26d07c9bf6b10fb57d7,9742.967202475593767832
,0x1116bffe122485addff8d182caa91c94b05e490c,9590.619633175021932296
,0xec848ea7ab27445ae6a9d9a4362b7db9eb059409,9351.987128187469738331
,0x368564ec5ed72533aba9a3b2f9f72ca881a8f164,9305.071003307054166229
